track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
XRS M-class (multi),tsmixer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class (multi),tsmixer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class (multi),tsmixer,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class (multi),xpatch,per-day,0.038,0.043,0.063,0.07,0.039,0.042,0.143,0.14,0.309,0.294,0.675,0.533,0.048,0.038,5.0
XRS M-class (multi),xpatch,per-point,0.059,0.078,0.096,0.111,0.054,0.066,0.155,0.096,0.445,0.08,0.522,0.118,0.122,0.165,5.0
XRS M-class (multi),xpatch,per-window,0.054,0.035,0.09,0.052,0.055,0.035,0.198,0.07,0.417,0.097,0.873,0.116,0.063,0.036,5.0
XRS X-class,dlinear,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,dlinear,per-point,0.008,0.002,0.015,0.004,0.007,0.002,0.045,0.038,0.418,0.098,0.349,0.502,0.074,0.075,5.0
XRS X-class,dlinear,per-window,0.024,0.008,0.046,0.015,0.024,0.008,0.13,0.031,0.443,0.09,0.74,0.236,0.035,0.02,5.0
XRS X-class,frets,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,frets,per-point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.001,0.003,5.0
XRS X-class,frets,per-window,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,,,0.0,0.0,0.003,0.008,5.0
XRS X-class,itransformer,per-day,-0.0,0.001,-0.0,0.001,0.0,0.0,-0.004,,,,0.0,,0.022,0.062,5.0
XRS X-class,itransformer,per-point,0.001,0.002,0.002,0.005,0.001,0.002,0.026,0.049,0.319,0.23,0.38,0.649,0.003,0.003,5.0
XRS X-class,itransformer,per-window,0.004,0.009,0.008,0.017,0.004,0.009,0.056,0.089,0.263,0.287,0.474,0.63,0.007,0.01,5.0
XRS X-class,naive (persistence),per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,naive (persistence),per-point,0.029,0.015,0.029,0.015,0.015,0.008,0.029,0.015,0.387,0.049,0.029,0.014,1.008,0.124,5.0
XRS X-class,naive (persistence),per-window,0.028,0.013,0.053,0.025,0.028,0.013,0.147,0.041,0.457,0.05,0.808,0.065,0.034,0.014,5.0
XRS X-class,patchmixer,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,patchmixer,per-point,0.002,0.003,0.004,0.005,0.002,0.003,0.021,0.029,0.327,0.167,0.425,0.636,0.023,0.035,5.0
XRS X-class,patchmixer,per-window,0.007,0.009,0.014,0.017,0.007,0.009,0.055,0.053,0.313,0.163,0.597,0.464,0.017,0.02,5.0
XRS X-class,patchtst,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,patchtst,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,patchtst,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,rlinear,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,rlinear,per-point,0.006,0.003,0.011,0.007,0.006,0.003,0.072,0.021,0.51,0.042,0.957,0.061,0.006,0.003,5.0
XRS X-class,rlinear,per-window,0.014,0.008,0.028,0.015,0.014,0.008,0.115,0.031,0.48,0.064,0.971,0.03,0.015,0.008,5.0
XRS X-class,segrnn,per-day,-0.0,0.001,-0.0,0.001,0.0,0.0,-0.004,,,,0.0,,0.022,0.062,5.0
XRS X-class,segrnn,per-point,0.011,0.007,0.022,0.014,0.011,0.007,0.092,0.035,0.509,0.046,0.8,0.122,0.015,0.01,5.0
XRS X-class,segrnn,per-window,0.021,0.016,0.041,0.031,0.021,0.016,0.127,0.05,0.442,0.076,0.831,0.177,0.027,0.019,5.0
XRS X-class,tide,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,tide,per-point,0.009,0.004,0.018,0.007,0.009,0.004,0.088,0.019,0.515,0.031,0.866,0.076,0.01,0.003,5.0
XRS X-class,tide,per-window,0.022,0.01,0.043,0.018,0.022,0.01,0.138,0.036,0.476,0.067,0.883,0.112,0.025,0.008,5.0
XRS X-class,tsmixer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,tsmixer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,tsmixer,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,xpatch,per-day,0.013,0.036,0.022,0.064,0.012,0.034,0.087,0.253,0.428,,0.25,0.694,0.049,0.084,5.0
XRS X-class,xpatch,per-point,0.005,0.003,0.009,0.006,0.005,0.003,0.042,0.024,0.408,0.064,0.411,0.255,0.012,0.007,5.0
XRS X-class,xpatch,per-window,0.012,0.006,0.023,0.011,0.012,0.006,0.072,0.028,0.33,0.049,0.457,0.193,0.028,0.015,5.0
