track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
XRS X-class,patchtst,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,patchtst,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,patchtst,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,rlinear,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,rlinear,per-point,0.003,0.001,0.005,0.002,0.003,0.001,0.048,0.014,0.468,0.071,0.967,0.07,0.003,0.001,5.0
XRS X-class,rlinear,per-window,0.007,0.004,0.014,0.008,0.007,0.004,0.082,0.023,0.411,,0.992,0.023,0.007,0.004,5.0
XRS X-class,segrnn,per-day,0.032,0.038,0.06,0.07,0.032,0.038,0.229,0.038,,,1.0,0.0,0.032,0.038,5.0
XRS X-class,segrnn,per-point,0.002,0.002,0.005,0.003,0.002,0.002,0.044,0.018,0.457,0.043,0.859,0.164,0.003,0.002,5.0
XRS X-class,segrnn,per-window,0.006,0.005,0.011,0.008,0.006,0.005,0.069,0.028,0.386,0.092,0.936,0.097,0.006,0.005,5.0
XRS X-class,tide,per-day,0.032,0.038,0.06,0.07,0.032,0.038,0.229,0.038,,,1.0,0.0,0.032,0.038,5.0
XRS X-class,tide,per-point,0.005,0.001,0.009,0.003,0.005,0.001,0.061,0.011,0.477,0.022,0.86,0.069,0.005,0.002,5.0
XRS X-class,tide,per-window,0.012,0.005,0.024,0.008,0.012,0.005,0.105,0.023,0.426,0.059,0.909,0.078,0.014,0.004,5.0
XRS X-class,tsmixer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,tsmixer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,tsmixer,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,xpatch,per-day,0.009,0.025,0.017,0.047,0.009,0.025,0.21,,,,1.0,,0.009,0.025,5.0
XRS X-class,xpatch,per-point,0.003,0.004,0.005,0.007,0.003,0.004,0.035,0.036,0.379,0.132,0.427,0.488,0.006,0.008,5.0
XRS X-class,xpatch,per-window,0.008,0.01,0.015,0.017,0.008,0.01,0.066,0.056,0.295,0.153,0.518,0.489,0.016,0.021,5.0
